,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
3049,300.7,311.7,1460,46.1,15,False,True,False
3050,297.7,307.3,1514,38.6,19,True,False,False
3051,303.3,311.2,1763,27.3,27,False,True,False
3052,300.6,310.2,1555,41.9,19,False,True,False
3053,297.8,308.9,1282,58.1,108,False,True,False
3054,296.7,307.8,1505,39.4,236,False,True,False
3055,301.6,310.9,1532,43.6,15,False,True,False
3056,302.6,311.0,1284,68.0,114,False,True,False
3057,296.3,307.2,1319,68.3,24,False,False,True
3058,298.5,308.0,1384,59.5,27,False,True,False
3059,303.0,312.3,1674,29.5,109,False,False,True
3060,302.6,310.5,1965,20.2,40,False,False,True
3061,302.5,312.0,1383,51.3,190,False,True,False
3062,301.7,310.8,1671,31.6,137,False,False,True
3063,297.8,307.8,1412,48.3,27,False,True,False
3064,302.4,311.1,1448,44.8,195,False,True,False
3065,297.2,308.5,1425,45.8,109,False,False,True
3066,296.9,308.3,1555,38.2,175,False,True,False
3067,297.3,308.5,1545,34.3,74,False,True,False
3068,297.9,308.9,1547,44.0,72,False,False,True
3069,297.9,308.8,1469,49.0,51,False,False,True
3070,300.4,309.2,1752,29.0,52,False,True,False
3071,300.3,311.6,1515,44.9,69,False,True,False
3072,301.2,310.7,1394,42.8,168,False,False,True
3073,303.0,312.3,1483,38.8,114,False,False,True
3074,302.4,310.9,1469,41.6,124,False,False,True
3075,298.8,309.1,1439,39.2,104,False,True,False
3076,301.5,310.6,1573,37.4,37,False,False,True
3077,297.2,307.9,1687,30.4,82,False,False,True
3078,299.1,308.2,1493,34.9,119,False,True,False
3079,297.7,309.7,1680,30.2,168,False,False,True
3080,298.9,310.2,1696,30.2,214,False,True,False
3081,299.3,309.1,1795,24.7,187,False,True,False
3082,301.4,310.4,1543,40.9,190,False,True,False
3083,295.7,306.2,1423,42.5,121,False,False,True
3084,300.3,311.4,1526,38.5,101,False,True,False
3085,297.7,308.5,1720,29.9,210,True,False,False
3086,303.0,311.2,1641,32.6,63,False,True,False
3087,298.0,307.6,1581,43.4,113,False,False,True
3088,298.7,309.0,1691,30.1,154,False,True,False
3089,300.2,309.8,1418,49.3,16,False,True,False
3090,299.5,309.2,1393,47.3,20,False,True,False
3091,300.7,310.1,1367,52.6,167,False,False,True
3092,301.1,311.1,1387,53.1,188,False,True,False
3093,298.4,310.2,1725,32.0,80,False,False,True
3094,301.5,310.4,1593,36.8,50,False,False,True
3095,300.5,311.9,1887,21.7,56,False,True,False
3096,295.7,306.5,1737,26.2,97,False,True,False
3097,300.1,311.3,1650,33.8,38,False,False,True
3098,302.6,311.1,1520,43.0,88,False,False,True
3099,300.4,309.4,1412,51.6,153,False,True,False
3100,297.7,308.2,1720,25.6,174,False,False,True
3101,300.2,311.6,1671,28.8,149,False,True,False
3102,302.9,311.0,1452,58.3,123,True,False,False
3103,300.3,311.8,1592,32.1,11,False,False,True
3104,302.3,311.8,1565,37.8,59,False,True,False
3105,298.9,308.6,1623,31.0,180,True,False,False
3106,301.8,310.8,1470,37.6,204,True,False,False
3107,297.4,308.4,1789,25.0,210,False,False,True
3108,298.1,308.3,1680,33.7,185,False,False,True
3109,301.5,310.5,2297,15.8,191,False,True,False
3110,298.0,307.6,1459,44.4,163,False,False,True
3111,302.5,311.0,1548,38.4,188,False,True,False
3112,300.7,310.8,1506,44.0,97,False,False,True
3113,297.4,308.6,1528,29.1,163,False,False,True
3114,303.9,313.1,1483,47.2,71,False,False,True
3115,302.3,310.9,1366,48.4,130,True,False,False
3116,303.8,312.5,1655,28.0,170,True,False,False
3117,297.6,309.4,1491,40.2,231,False,True,False
3118,297.3,308.3,1411,43.2,63,False,True,False
3119,299.6,310.1,1646,29.6,73,False,False,True
3120,299.8,311.3,1517,41.2,105,False,False,True
3121,301.3,310.4,1538,38.4,65,True,False,False
3122,299.7,310.3,1429,47.7,35,False,False,True
3123,303.0,312.5,1698,30.0,89,True,False,False
3124,302.3,311.6,1398,49.1,119,False,True,False
3125,300.9,310.7,1403,40.6,207,True,False,False
3126,303.7,312.6,1621,38.8,182,False,True,False
3127,301.9,310.9,1379,54.8,99,False,True,False
3128,300.6,309.4,1556,36.0,98,False,True,False
3129,300.7,310.6,1349,54.5,19,False,False,True
3130,303.0,311.1,1490,43.0,108,False,False,True
3131,303.9,313.2,1393,46.5,9,False,True,False
3132,300.0,310.1,1465,40.9,60,False,True,False
3133,298.1,308.7,1683,29.1,161,False,True,False
3134,298.3,308.3,1444,43.8,176,False,True,False
3135,301.0,312.2,1601,33.0,109,False,True,False
3136,300.9,311.0,1382,51.2,136,False,True,False
3137,297.3,308.2,1653,31.4,9,True,False,False
3138,299.4,310.9,1751,27.8,10,False,True,False
3139,298.0,308.5,1664,28.3,196,False,True,False
3140,303.4,311.9,1534,33.2,210,True,False,False
3141,299.2,310.1,1534,37.7,10,False,True,False
3142,297.2,307.9,1989,20.3,186,False,True,False
3143,302.2,311.5,1548,32.4,81,False,True,False
3144,300.1,308.9,1548,38.4,31,False,False,True
3145,298.5,309.6,1421,53.6,122,False,True,False
3146,299.3,308.9,1376,60.3,163,False,True,False
3147,298.3,308.0,1578,37.8,101,False,True,False
3148,298.8,308.6,1449,49.4,150,True,False,False
3149,302.0,311.2,1625,30.7,189,False,False,True
3150,301.4,310.5,1489,43.5,98,False,True,False
3151,300.5,310.7,1606,33.5,121,False,True,False
3152,300.0,311.4,1384,46.1,7,False,False,True
3153,297.6,308.6,1390,53.4,175,False,False,True
3154,300.6,309.5,1867,23.0,242,False,True,False
3155,299.2,308.9,1430,39.1,117,False,True,False
3156,296.8,307.9,1372,49.0,140,False,True,False
3157,302.5,312.2,1574,38.7,30,False,True,False
3158,299.6,310.2,1333,51.2,40,False,True,False
3159,298.2,309.0,1643,34.1,91,False,True,False
3160,302.6,311.6,1576,34.7,182,False,True,False
3161,299.6,309.2,1425,45.9,133,False,True,False
3162,300.8,311.9,1356,44.3,214,False,False,True
3163,297.3,308.8,1469,44.1,150,False,False,True
3164,297.4,308.3,1444,44.0,18,False,False,True
3165,297.6,308.7,1408,51.5,4,False,False,True
3166,302.7,310.4,1489,42.7,33,False,True,False
3167,297.5,309.2,1715,28.0,30,False,True,False
3168,303.0,312.6,1392,42.9,94,False,False,True
3169,302.2,310.9,1522,35.9,61,True,False,False
3170,298.0,308.3,1662,32.7,0,False,True,False
3171,300.4,309.8,1430,43.4,198,False,False,True
3172,299.2,308.5,1342,47.5,147,True,False,False
3173,300.2,311.6,1415,55.8,82,False,False,True
3174,300.1,311.3,1748,26.6,42,False,False,True
3175,302.3,312.0,1354,52.2,165,False,True,False
3176,302.2,311.5,1588,30.6,39,False,True,False
3177,295.9,306.6,1412,41.0,109,False,True,False
3178,301.9,310.6,1462,38.8,22,False,True,False
3179,302.0,310.8,1445,46.3,17,False,False,True
3180,302.5,310.2,1751,30.5,90,False,False,True
3181,298.9,308.5,1415,54.0,6,True,False,False
3182,298.5,308.4,1733,26.0,8,False,True,False
3183,297.3,308.2,1490,41.0,16,False,True,False
3184,301.4,310.7,1706,27.9,170,False,True,False
3185,297.7,309.1,1562,36.8,172,False,True,False
3186,304.1,313.1,1550,30.9,9,False,True,False
3187,300.1,309.0,1314,58.2,114,False,True,False
3188,300.1,309.4,1559,39.7,24,False,True,False
3189,303.4,311.5,1560,36.4,114,False,False,True
3190,302.6,311.0,1369,60.0,93,False,True,False
3191,300.0,309.9,1651,28.1,114,False,False,True
3192,300.5,309.8,1441,48.8,200,False,True,False
3193,297.6,308.4,1460,40.3,195,False,True,False
3194,300.4,311.8,1636,32.3,7,False,True,False
3195,301.6,310.5,1397,49.4,104,False,True,False
3196,300.0,309.4,2010,20.0,55,False,True,False
3197,302.2,311.7,1488,44.6,178,False,True,False
3198,300.4,311.2,1366,56.1,177,False,False,True
3199,300.4,312.0,1631,34.9,115,False,True,False
3200,297.5,309.4,1368,45.3,129,True,False,False
3201,300.2,311.7,1603,30.5,176,False,True,False
3202,296.8,307.8,1480,39.4,122,False,True,False
3203,299.5,310.8,1571,38.2,74,False,True,False
3204,302.2,311.5,1449,44.5,113,False,False,True
3205,299.0,310.2,1657,32.3,64,False,False,True
3206,301.4,311.0,1486,36.5,91,False,False,True
3207,299.5,310.7,1364,49.5,0,False,False,True
3208,302.9,312.4,1424,49.5,155,False,True,False
3209,301.1,311.0,1378,51.1,190,False,True,False
3210,300.5,309.8,1416,48.5,110,False,False,True
3211,302.2,311.4,1754,26.9,33,False,True,False
3212,297.8,308.3,1498,47.3,160,False,True,False
3213,298.9,310.0,1633,31.2,76,False,True,False
3214,297.4,308.6,1820,24.6,79,False,True,False
3215,299.7,310.9,1620,37.2,203,False,False,True
3216,297.5,309.2,1530,40.0,206,False,False,True
3217,302.2,311.1,1394,53.7,140,False,True,False
3218,301.1,310.5,1529,38.7,91,False,True,False
3219,300.5,310.6,1950,20.3,208,False,True,False
3220,302.3,311.8,1605,35.2,152,False,True,False
3221,298.3,309.2,1783,28.3,130,False,False,True
3222,299.2,310.5,1548,33.5,35,False,False,True
3223,298.4,308.7,1421,60.7,119,False,False,True
3224,302.4,311.0,1317,59.4,179,False,True,False
3225,300.7,309.4,1589,35.0,52,False,False,True
3226,301.0,310.5,1601,33.2,77,False,True,False
3227,299.0,310.3,1827,28.0,178,False,False,True
3228,302.4,310.2,1346,62.4,106,False,True,False
3229,301.0,311.6,1301,55.0,9,False,False,True
3230,297.4,308.9,1348,59.1,201,False,False,True
3231,298.0,307.8,1414,51.7,140,False,True,False
3232,301.3,310.4,1346,46.7,90,False,True,False
3233,304.1,313.4,1518,42.4,105,False,False,True
3234,300.7,310.2,1348,54.8,50,False,True,False
3235,297.3,308.3,1697,27.4,121,False,False,True
3236,296.8,307.6,1547,36.5,179,False,True,False
3237,299.1,309.4,1439,44.2,82,False,True,False
3238,301.1,310.9,1396,45.1,12,False,False,True
3239,303.3,311.8,1441,44.9,61,False,False,True
3240,300.2,311.0,1777,27.5,151,True,False,False
3241,300.0,311.4,1383,49.6,101,False,True,False
3242,299.0,310.4,1504,34.3,48,False,True,False
3243,298.8,309.8,1563,38.8,65,True,False,False
3244,298.3,308.9,1695,30.7,174,False,True,False
3245,301.4,310.7,1617,34.3,101,False,False,True
3246,302.5,312.0,1826,25.3,203,False,False,True
3247,296.1,307.2,1615,30.8,18,False,True,False
3248,300.6,312.0,1490,39.8,94,False,False,True
3249,303.5,313.0,1492,46.1,89,False,False,True
3250,301.3,311.3,1434,49.8,16,False,True,False
3251,304.0,313.2,1271,68.6,161,True,False,False
3252,298.0,307.5,1683,27.8,26,True,False,False
3253,298.0,308.9,1607,37.7,49,False,True,False
3254,299.9,310.3,1638,29.1,152,False,True,False
3255,297.5,308.9,1466,43.0,15,False,True,False
3256,298.6,309.8,1842,20.1,142,False,True,False
3257,300.9,310.5,1570,40.1,79,False,True,False
3258,300.5,311.8,1636,34.4,2,False,False,True
3259,302.5,310.4,1415,48.2,117,False,True,False
3260,299.0,310.2,1682,28.8,49,False,True,False
3261,297.2,307.9,1337,58.1,184,False,True,False
3262,302.7,310.6,1564,34.3,0,False,True,False
3263,298.4,308.2,1471,47.0,214,False,True,False
3264,297.2,307.9,1450,37.2,151,True,False,False
3265,301.3,310.4,1440,41.5,197,False,True,False
3266,299.0,308.3,1377,47.2,35,False,False,True
3267,303.0,311.2,1409,41.9,98,False,True,False
3268,298.8,309.1,1362,45.4,113,False,True,False
3269,299.3,309.1,1399,52.1,27,False,True,False
3270,301.2,310.7,1676,32.4,98,False,True,False
3271,298.8,309.7,1448,44.8,31,False,False,True
3272,299.5,309.9,1402,51.7,58,False,True,False
3273,302.3,311.7,1611,38.6,143,False,True,False
3274,297.9,309.0,1629,29.0,26,False,True,False
3275,302.2,311.3,1931,21.9,101,False,False,True
3276,301.5,310.7,1359,47.1,115,False,False,True
3277,297.4,308.3,1774,28.9,166,False,False,True
3278,299.4,310.9,1473,40.1,7,False,False,True
3279,298.7,309.8,1589,31.8,217,False,True,False
3280,299.7,310.3,1462,40.4,19,True,False,False
3281,300.0,309.7,1326,61.9,80,False,True,False
3282,298.1,309.3,1332,51.0,72,True,False,False
3283,303.6,312.3,1915,22.3,116,False,False,True
3284,301.3,310.7,1532,40.7,178,False,False,True
3285,297.6,308.6,1480,39.8,19,True,False,False
3286,298.4,309.0,2304,15.1,89,False,True,False
3287,297.9,307.7,1308,55.2,87,False,True,False
3288,300.3,311.3,1332,60.5,112,False,True,False
3289,297.5,308.2,1610,33.6,115,False,True,False
3290,298.1,308.7,1362,49.6,158,False,False,True
3291,301.5,310.7,1871,21.3,152,False,False,True
3292,297.4,308.6,1452,41.2,197,False,False,True
3293,300.5,310.7,1488,39.4,159,False,True,False
3294,297.1,308.2,1399,42.6,194,False,True,False
3295,301.7,311.0,1503,44.8,134,False,True,False
3296,302.7,312.1,1603,32.5,148,True,False,False
3297,303.6,312.9,1381,57.8,27,False,True,False
3298,300.7,311.1,1440,43.0,148,False,True,False
3299,301.8,310.7,1420,52.0,88,False,False,True
3300,299.4,309.1,1670,35.9,68,False,True,False
3301,300.0,311.4,1864,23.3,2,False,False,True
3302,303.8,312.8,1416,58.7,156,False,True,False
3303,298.6,309.8,1279,55.9,152,True,False,False
3304,299.3,308.7,1484,40.5,213,False,True,False
3305,297.8,307.5,1388,40.0,159,False,True,False
3306,299.7,311.2,1560,43.9,126,False,False,True
3307,299.7,309.3,1546,37.2,4,False,True,False
3308,297.9,307.7,1567,34.7,74,False,True,False
3309,297.2,308.3,1794,27.5,38,False,False,True
3310,297.0,307.9,1479,39.2,151,False,True,False
3311,301.6,310.1,1326,48.2,77,False,True,False
3312,301.1,311.1,1384,42.5,185,False,False,True
3313,300.0,311.4,1487,41.2,22,False,True,False
3314,301.6,310.9,1623,34.1,56,False,True,False
3315,296.8,307.8,1627,30.5,117,True,False,False
3316,300.1,309.0,1404,54.8,29,False,True,False
3317,302.3,310.1,1653,29.7,34,False,True,False
3318,297.4,308.3,1431,43.0,113,False,True,False
3319,301.3,310.6,1529,41.8,176,False,True,False
3320,299.2,308.5,1490,43.2,158,False,True,False
3321,300.4,309.7,1488,42.2,133,False,False,True
3322,297.9,308.8,1602,32.1,59,False,False,True
3323,300.1,311.4,1390,52.1,94,False,False,True
3324,297.6,309.0,1885,25.2,24,True,False,False
3325,297.7,308.9,1742,26.3,24,False,True,False
3326,297.8,307.3,1859,24.0,178,False,True,False
3327,300.0,311.5,1812,28.3,94,False,True,False
3328,298.4,308.2,1584,41.0,191,False,False,True
3329,303.8,312.8,1646,35.8,143,False,True,False
3330,300.7,311.0,1496,38.3,99,False,True,False
3331,295.6,306.2,1424,42.5,58,False,True,False
3332,298.8,308.7,1635,35.2,47,False,True,False
3333,301.6,309.9,1397,43.7,102,False,True,False
3334,298.8,308.5,1711,28.5,140,False,False,True
3335,300.4,310.4,1486,46.3,48,False,True,False
3336,303.2,311.5,1513,37.9,0,False,True,False
3337,301.4,310.4,1553,44.7,173,False,False,True
3338,301.0,310.9,1822,21.6,168,False,True,False
3339,297.3,308.5,1524,49.3,176,False,False,True
3340,297.4,308.5,1462,42.8,68,False,True,False
3341,302.3,311.8,1804,25.0,43,True,False,False
3342,299.4,309.0,1613,32.2,178,False,True,False
3343,303.4,312.8,1360,50.8,94,False,True,False
3344,297.2,308.5,1574,35.8,95,False,True,False
3345,298.3,309.5,1560,36.9,131,False,False,True
3346,302.4,311.8,1453,42.1,105,False,False,True
3347,300.5,310.8,1728,26.3,125,False,True,False
3348,303.3,311.3,1393,47.4,18,False,True,False
3349,303.5,313.0,1465,41.0,56,False,True,False
3350,300.6,310.2,1622,34.1,3,False,True,False
3351,298.3,307.9,1435,39.9,143,False,True,False
3352,301.9,310.5,1892,21.8,177,False,True,False
3353,304.3,313.3,1775,24.9,39,False,True,False
3354,301.1,310.5,1646,30.7,76,False,False,True
3355,296.7,308.1,1528,46.3,203,True,False,False
3356,302.3,311.7,1453,42.5,56,False,False,True
3357,298.7,308.5,1375,46.4,48,False,True,False
3358,302.1,311.2,1417,48.0,13,False,True,False
3359,297.4,308.4,1487,46.2,150,True,False,False
3360,303.6,311.9,1473,50.1,84,False,True,False
3361,299.4,310.6,1418,53.1,10,False,True,False
3362,303.6,312.0,1827,23.3,103,False,True,False
3363,298.3,309.0,1823,25.9,181,True,False,False
3364,298.1,307.8,1606,33.0,130,False,True,False
3365,302.3,311.2,1386,53.5,59,False,True,False
3366,302.4,310.1,1418,52.3,141,False,True,False
3367,302.0,309.9,1308,57.6,197,False,True,False
3368,302.2,310.8,1350,56.6,76,False,True,False
3369,297.4,308.6,1643,31.0,89,False,False,True
3370,298.9,310.1,1458,44.3,156,True,False,False
3371,301.8,310.8,1576,38.6,38,False,True,False
3372,298.8,308.6,1593,35.5,175,False,True,False
3373,300.6,311.9,1463,38.2,41,False,True,False
3374,299.0,310.3,1929,24.4,180,False,True,False
3375,300.6,310.7,1339,52.9,0,False,False,True
3376,302.2,311.0,1832,23.2,70,False,True,False
3377,303.4,312.8,1376,53.4,98,False,True,False
3378,300.4,311.5,1704,29.7,103,False,True,False
3379,302.6,311.6,1518,39.0,184,False,False,True
3380,303.4,312.7,1357,55.3,31,False,False,True
3381,300.6,310.1,1297,50.0,130,False,True,False
3382,297.2,308.3,1578,37.8,3,False,False,True
3383,300.8,310.7,1371,44.7,205,False,False,True
3384,302.2,311.1,1434,58.6,102,False,False,True
3385,301.9,311.0,1289,54.9,128,False,True,False
3386,301.1,310.9,1552,37.9,126,False,False,True
3387,303.7,312.4,1316,59.3,137,False,True,False
3388,303.5,312.7,1420,49.1,42,False,False,True
3389,300.6,310.2,1233,52.3,23,False,False,True
3390,300.2,310.3,1202,59.5,40,False,True,False
3391,296.9,308.0,1521,34.5,84,False,True,False
3392,298.0,308.0,1524,37.0,49,False,True,False
3393,297.4,308.3,1723,28.8,33,False,True,False
3394,302.4,311.8,1539,39.9,101,False,False,True
3395,303.5,312.9,1883,23.3,100,False,False,True
3396,298.9,308.9,1450,47.5,9,False,True,False
3397,300.2,309.5,1434,51.5,189,False,False,True
3398,299.2,308.8,1605,31.1,181,False,True,False
3399,302.5,310.8,1577,36.9,158,False,True,False
3400,301.9,310.4,1518,34.1,155,False,True,False
3401,300.4,311.5,1662,29.0,137,True,False,False
3402,304.1,313.1,1556,36.3,86,False,True,False
3403,300.3,311.8,2004,19.6,12,False,True,False
3404,303.7,312.4,1535,38.6,107,False,True,False
3405,298.1,309.2,1460,45.8,80,False,False,True
3406,301.9,311.2,1657,29.1,23,False,True,False
3407,302.2,311.4,1625,35.4,70,True,False,False
3408,303.9,313.2,1499,37.4,7,False,True,False
3409,297.8,307.3,1438,44.5,3,False,True,False
3410,301.1,312.2,1491,42.6,52,True,False,False
3411,298.9,308.9,1422,47.6,15,False,True,False
3412,298.8,308.7,1490,33.6,71,False,True,False
3413,299.2,310.3,1463,38.9,160,False,True,False
3414,298.1,307.8,1316,57.2,191,False,False,True
3415,299.2,310.6,1434,48.4,153,True,False,False
3416,301.6,310.7,2012,20.7,178,False,False,True
3417,297.5,308.6,1260,53.6,137,False,True,False
3418,299.9,309.2,1658,34.8,16,False,True,False
3419,298.5,308.3,1811,24.7,27,False,True,False
3420,297.5,308.1,1469,44.8,5,False,False,True
3421,300.4,309.6,1523,38.5,124,False,True,False
3422,301.0,311.0,1508,46.9,113,False,False,True
3423,302.2,311.1,1640,32.8,77,False,False,True
3424,298.4,309.3,1390,53.6,5,False,False,True
3425,301.4,310.6,1464,37.4,74,False,False,True
3426,303.5,312.0,1397,52.9,80,True,False,False
3427,300.2,310.1,1440,51.1,41,False,True,False
3428,298.1,307.7,1664,27.6,145,False,True,False
3429,299.0,310.1,2033,19.3,15,False,True,False
3430,302.3,311.0,1657,31.1,3,False,True,False
3431,303.5,312.6,1496,39.0,21,False,True,False
3432,299.7,309.2,1346,57.4,138,False,True,False
3433,298.3,308.3,1452,45.5,63,False,True,False
3434,298.2,308.4,1510,39.9,134,False,False,True
3435,298.8,309.9,1466,44.6,66,True,False,False
3436,300.6,310.6,1427,52.8,75,False,False,True
3437,299.1,308.9,1680,27.2,110,False,True,False
3438,301.3,310.3,1419,55.7,125,False,True,False
3439,297.5,309.4,1809,24.3,110,False,True,False
3440,301.7,310.5,1625,35.9,121,False,False,True
3441,298.7,309.7,1362,50.5,34,False,False,True
3442,303.5,311.6,1466,47.0,80,True,False,False
3443,300.8,310.8,1549,35.5,79,False,False,True
3444,297.8,308.8,1421,49.6,101,False,True,False
3445,298.5,309.0,1458,44.8,217,False,True,False
3446,299.1,310.2,1456,48.4,101,False,False,True
3447,300.4,311.8,1689,30.8,196,False,True,False
3448,302.1,311.3,1758,24.4,200,False,True,False
3449,304.0,313.0,1701,30.4,171,True,False,False
3450,300.8,310.9,1678,28.1,63,False,False,True
3451,301.0,310.6,1366,50.6,106,True,False,False
3452,299.4,309.3,1596,31.8,40,False,True,False
3453,300.7,312.1,1498,44.0,155,False,True,False
3454,300.8,312.0,1450,45.0,183,False,False,True
3455,296.7,307.8,1646,34.6,238,False,True,False
3456,299.6,310.9,1229,65.2,209,False,True,False
3457,298.9,310.6,1615,33.0,221,True,False,False
3458,302.0,310.4,1611,35.6,117,False,True,False
3459,300.9,310.8,1482,37.0,5,False,True,False
3460,300.5,309.8,1473,42.3,121,False,False,True
3461,298.0,308.7,1503,36.3,5,True,False,False
3462,298.0,308.7,1443,49.3,52,False,True,False
3463,300.2,309.8,1650,29.6,13,False,True,False
3464,302.6,311.7,1773,27.1,30,False,True,False
3465,297.6,307.1,1526,39.1,39,False,False,True
3466,300.3,310.6,1806,24.4,88,False,True,False
3467,301.9,311.5,1492,40.8,150,False,False,True
3468,300.6,310.4,1401,42.6,114,False,True,False
3469,299.1,310.6,1791,28.0,168,True,False,False
3470,300.8,311.2,1634,31.9,178,False,False,True
3471,299.2,308.8,1314,52.5,193,False,False,True
3472,298.7,309.8,1530,35.5,0,False,True,False
3473,297.5,308.8,1417,49.8,177,False,True,False
3474,299.2,308.5,1445,45.2,222,False,True,False
3475,300.4,311.1,1405,54.1,193,False,True,False
3476,297.5,308.3,1521,38.2,74,False,False,True
3477,302.2,311.5,1489,38.3,35,False,True,False
3478,300.3,310.3,1483,51.6,50,False,True,False
3479,300.2,309.4,1752,27.8,208,False,False,True
3480,303.4,312.7,1576,49.9,28,False,False,True
3481,300.3,311.7,1365,53.3,113,False,True,False
3482,304.2,313.4,1490,44.0,41,False,True,False
3483,298.9,310.3,1364,54.0,95,False,True,False
3484,300.9,310.6,1598,35.4,186,False,True,False
3485,298.8,308.4,1401,47.3,10,False,True,False
3486,300.1,309.7,1601,35.8,160,False,True,False
3487,299.3,308.4,1438,42.3,0,False,False,True
3488,298.8,309.9,1486,40.3,126,False,True,False
3489,301.5,310.7,1466,47.3,77,False,True,False
3490,302.5,311.9,1265,59.8,119,False,True,False
3491,301.8,310.7,1465,35.8,82,False,False,True
3492,300.9,310.7,1412,57.5,16,False,True,False
3493,300.3,310.4,1493,37.5,219,False,True,False
3494,300.7,311.1,2478,13.4,170,False,True,False
3495,297.0,308.2,1702,30.7,124,False,False,True
3496,301.8,311.5,1416,49.0,136,False,False,True
3497,303.0,311.1,1525,40.7,179,False,True,False
3498,303.1,311.3,1336,52.6,172,False,True,False
3499,297.9,307.6,1504,42.4,180,False,True,False
3500,303.0,312.7,1426,46.8,99,False,False,True
3501,297.1,308.0,1467,42.8,169,False,True,False
3502,302.1,311.2,1447,50.3,11,False,True,False
3503,300.8,311.7,1397,43.5,227,False,True,False
3504,300.6,309.6,1365,50.0,70,False,False,True
3505,298.1,307.7,1376,56.2,113,True,False,False
3506,298.2,309.1,1411,45.8,157,False,False,True
3507,301.1,311.2,1591,35.0,208,False,False,True
3508,301.4,310.7,1470,46.5,101,False,False,True
3509,299.5,310.8,1356,54.9,72,False,True,False
3510,302.6,310.2,1923,21.5,18,False,True,False
3511,300.1,309.7,1348,57.3,48,False,False,True
3512,298.6,310.0,1517,39.0,4,False,True,False
3513,299.8,309.4,1480,40.9,2,False,True,False
3514,301.0,310.6,1641,33.4,12,False,True,False
3515,299.1,308.5,1587,35.6,2,False,False,True
3516,303.3,311.5,1569,36.6,47,False,False,True
3517,302.2,310.6,1386,50.0,132,False,True,False
3518,300.3,309.9,1611,29.0,177,False,False,True
3519,302.6,311.0,1589,39.0,122,False,False,True
3520,298.7,309.6,1455,46.8,162,False,False,True
3521,300.7,310.3,1592,36.0,14,False,True,False
3522,300.6,309.8,1913,22.5,157,True,False,False
3523,298.5,307.9,1640,33.1,146,False,False,True
3524,297.5,308.4,1369,54.8,145,False,False,True
3525,300.5,309.7,1841,24.6,143,False,True,False
3526,299.8,311.1,1603,35.1,179,False,True,False
3527,299.7,309.3,1420,44.1,60,False,True,False
3528,299.2,308.4,1381,42.5,54,False,False,True
3529,301.7,310.1,2695,12.6,10,False,True,False
3530,301.6,310.1,1694,26.3,14,False,True,False
3531,297.0,308.3,1399,59.0,135,False,True,False
3532,297.1,308.2,1529,37.9,183,False,False,True
3533,298.2,309.0,1491,38.3,121,False,True,False
3534,297.6,309.0,1735,26.4,41,True,False,False
3535,301.7,310.6,1492,42.2,85,False,False,True
3536,302.3,311.8,1574,42.8,215,False,True,False
3537,301.0,310.8,1549,41.4,121,False,True,False
3538,302.0,310.5,1459,43.2,148,True,False,False
3539,300.6,309.4,1463,49.2,235,True,False,False
3540,299.0,310.1,1362,59.5,46,False,True,False
3541,297.8,309.2,1683,30.9,163,False,True,False
3542,300.6,310.0,1419,42.4,90,True,False,False
3543,297.4,309.0,1568,33.7,175,False,True,False
3544,298.4,308.5,1636,35.7,107,False,False,True
3545,300.7,311.8,1336,58.4,189,False,True,False
3546,300.3,310.2,1471,45.2,48,False,True,False
3547,296.1,306.9,1541,32.6,33,True,False,False
3548,300.5,311.4,1312,51.4,60,False,False,True
3549,303.4,311.7,1793,25.8,161,False,True,False
3550,298.3,309.9,1507,41.6,112,False,True,False
3551,301.5,310.5,1636,28.7,106,False,True,False
3552,301.1,311.2,1407,53.0,165,False,False,True
3553,298.3,307.8,1485,42.0,13,False,False,True
3554,300.3,309.5,1448,42.4,145,False,False,True
3555,298.8,308.8,1441,40.5,63,False,False,True
3556,299.3,309.0,1496,43.4,67,False,False,True
3557,298.1,307.7,1414,48.7,159,False,True,False
3558,297.7,307.7,1581,34.9,31,False,True,False
3559,297.3,308.5,1456,54.2,179,False,True,False
3560,297.3,308.6,1385,55.2,156,False,True,False
3561,302.5,310.2,1547,36.9,103,False,True,False
3562,297.3,308.1,1762,26.1,154,False,True,False
3563,299.6,309.1,1574,39.2,83,False,True,False
3564,301.1,312.4,1430,37.9,124,False,True,False
3565,299.7,311.1,1353,47.1,143,True,False,False
3566,299.1,308.4,1426,47.9,67,False,True,False
3567,300.1,311.6,1589,37.9,37,True,False,False
3568,302.7,310.7,1369,47.5,11,False,True,False
3569,300.6,309.7,1593,32.4,76,False,True,False
3570,297.4,308.5,1495,37.8,211,False,True,False
3571,296.4,307.5,1556,38.0,62,True,False,False
3572,298.8,309.7,1450,43.1,63,False,True,False
3573,303.7,312.9,1502,40.5,0,False,True,False
3574,299.9,309.0,1553,40.0,88,False,True,False
3575,302.6,312.1,1445,42.0,181,False,False,True
3576,302.3,311.8,1463,35.7,197,False,False,True
3577,302.3,311.0,1446,37.6,75,False,True,False
3578,299.3,309.0,1734,30.6,154,False,True,False
3579,303.7,313.0,1457,44.1,40,False,True,False
3580,300.4,311.4,1445,52.4,105,True,False,False
3581,297.4,307.9,1606,33.4,176,False,True,False
3582,298.1,308.7,1642,30.3,3,False,True,False
3583,297.8,307.9,1802,25.8,43,False,False,True
3584,301.0,309.9,1507,41.8,19,False,True,False
